run event track particle start_energy_[eV] start_x_[mm] start_y_[mm] start_z_[mm] start_t_[ns] energy_deposit_[eV] track_weight end_x_[mm] end_y_[mm] end_z_[mm] end_t_[ns]
0 0 254 phononL 0.00864378 0.000193274 0.000111868 -3.50119e-05 0.273367 0.00864378 1 -0.783465 -0.807618 0.5 941.834
0 0 279 phononL 0.00370285 -5.43569 3.04555 0.173367 18371.7 0.00370285 1 15.8747 6.82809 -0.5 47210
0 0 281 phononL 0.00148703 -0.655506 14.7055 0.374268 26994 0.00148703 1 27.6546 17.2063 0.5 35940.4
0 0 280 phononTF 0.00236205 -0.655506 14.7055 0.374268 26994 0.00236205 1 11.8214 22.3408 -0.5 56806
0 0 276 phononL 0.0036107 -0.822764 0.377359 0.00747536 1616.89 0.0036107 1 1.95667 -0.701035 -0.5 12593
0 0 287 phononL 0.00263431 13.8475 5.94853 -0.267311 39914.7 0.00263431 1 10.1649 7.10133 -0.5 51954
0 0 284 phononTS 0.00327913 2.01257 1.65321 0.340293 9077.47 0.00327913 1 25.0809 3.04507 0.5 29473
0 0 291 phononTF 0.00299816 3.6041 -11.684 -0.464937 22325.2 0.00299816 1 8.4266 -2.35474 0.5 45007.7
0 0 290 phononTF 0.00337281 3.6041 -11.684 -0.464937 22325.2 0.00337281 1 5.48822 -11.7166 0.5 33787.1
0 0 293 phononL 0.00275262 -8.34913 -5.23088 -0.438842 12151.7 0.00275262 1 -7.25069 -7.2663 0.5 13443.5
0 0 292 phononTS 0.000954648 -8.34913 -5.23088 -0.438842 12151.7 0.000954648 1 -23.1461 -16.0467 0.5 31099.4
0 0 303 phononTF 0.00989038 -0.0245729 0.338832 -0.0740462 363.241 0.00989038 1 0.172536 0.389427 0.5 1367.32
0 0 300 phononTS 0.00357383 -0.0447207 0.0386885 0.0613849 55.224 0.00357383 1 18.0922 -30.3131 0.5 35842.8
0 0 306 phononTS 0.00224883 -0.164035 0.0369434 -0.0109063 4027.55 0.00224883 1 -26.3119 -3.87253 0.5 51155.9
0 0 311 phononTS 0.00352138 0.687419 2.15386 -0.040071 2827.37 0.00352138 1 -1.91611 11.3026 0.5 13919.6
0 0 310 phononTS 0.00339825 0.687419 2.15386 -0.040071 2827.37 0.00339825 1 8.12859 14.4754 -0.5 53003.1
0 0 315 phononTS 0.00613836 1.18605 -0.27456 -0.0744513 2157.48 0.00613836 1 4.26851 -10.8059 -0.5 11913.2
0 0 317 phononTS 0.00128013 -11.1513 -28.1173 -0.282414 37712.7 0.00128013 1 -3.66697 -24.2143 0.5 76901.6
0 0 316 phononTF 0.00117499 -11.1513 -28.1173 -0.282414 37712.7 0.00117499 1 25.611 3.0772 0.5 86233.7
0 0 312 phononTF 0.00477833 -0.105915 -0.0755958 -0.0896566 1126.32 0.00477833 1 3.90076 4.73091 -0.5 15054.9
0 0 323 phononL 0.00889331 -0.0522408 -0.0258132 -0.0199822 57.1997 0.00889331 1 -0.475979 0.554522 0.5 3390.95
0 0 327 phononTF 0.00331051 0.282347 0.225751 0.305336 586.402 0.00331051 1 -4.64175 -3.71787 -0.5 5866.76
0 0 326 phononTF 0.00452585 0.282347 0.225751 0.305336 586.402 0.00452585 1 -3.21969 4.95706 0.5 4049.51
0 0 329 phononTF 0.00150396 0.48466 -0.476664 -0.197395 2113.56 0.00150396 1 -2.11485 -5.60505 0.5 3765.39
0 0 328 phononTS 0.00297659 0.48466 -0.476664 -0.197395 2113.56 0.00297659 1 0.483354 -3.67554 -0.5 10580.2
0 0 341 phononTF 0.00298473 7.63629 2.5019 -0.152835 9971.5 0.00298473 1 31.0309 10.5152 0.5 26576.6
0 0 340 phononTF 0.00242281 7.63629 2.5019 -0.152835 9971.5 0.00242281 1 25.1378 -16.7717 0.5 38344.5
0 0 338 phononTS 0.00365923 -0.0405678 -0.961189 -0.355132 962.013 0.00365923 1 -0.574422 -0.847729 0.5 1236.11
0 0 349 phononTF 0.00431722 0.996218 1.14381 0.41442 3204.59 0.00431722 1 3.85317 10.6679 0.5 15836.8
0 0 344 phononL 0.00389588 -0.148095 0.135823 0.0793019 399.162 0.00389588 1 -24.2779 -11.6679 0.5 16095.2
0 0 342 phononTS 0.00137914 -0.074092 0.0791451 0.0780775 334.44 0.00137914 1 -11.7724 14.3128 -0.5 14500.8
0 0 351 phononTS 0.00359738 0.0279328 -0.0250092 0.0308231 15.328 0.00359738 1 9.3207 -5.93378 0.5 14358.1
0 0 353 phononL 0.00207877 1.8597 -2.32434 -0.414202 11514.2 0.00207877 1 -3.79233 4.38185 -0.5 35324.9
0 0 352 phononTF 0.00454995 1.8597 -2.32434 -0.414202 11514.2 0.00454995 1 1.85997 -2.45321 -0.5 11540.7
0 0 358 phononTS 0.00289324 -8.35362 10.9174 -0.0942785 17510.9 0.00289324 1 -8.62808 10.4661 0.5 18426.9
0 0 356 phononL 0.0048555 0.354745 0.79338 0.140285 4871.1 0.0048555 1 17.8453 -17.8738 0.5 34176.6
0 0 361 phononTS 0.00738817 0.517187 -0.305407 -0.0138612 1546.87 0.00738817 1 -1.47886 2.16466 -0.5 9936.09
0 0 360 phononTF 0.00249329 0.517187 -0.305407 -0.0138612 1546.87 0.00249329 1 -26.6585 24.1546 0.5 26809.2
0 0 373 phononTF 0.003197 0.985131 -0.309848 0.0885341 551.995 0.003197 1 -3.07428 -16.3541 -0.5 10753.8
0 0 372 phononTS 0.00377296 0.985131 -0.309848 0.0885341 551.995 0.00377296 1 0.242904 -4.82839 0.5 6300.41
0 0 375 phononTF 0.00383302 0.10964 -0.766297 0.319677 20876.2 0.00383302 1 7.03969 -7.06615 0.5 27861.1
